,frame,x [nm],y [nm],Photon #,Sigma [nm]
581,5.0,21001.68,43613.09,170,92.25
582,5.0,22014.7,3389.26,988,136.17
583,5.0,22230.06,47322.23,1395,117.38
584,5.0,22667.61,21665.73,2084,130.12
585,5.0,23106.85,37149.87,221,115.19
586,5.0,23126.66,43967.22,1215,135.56
587,5.0,23512.59,36203.93,309,125.7
588,5.0,23914.14,15012.57,2065,117.4
589,5.0,24217.42,24592.0,762,129.13
590,5.0,24315.48,3818.21,213,119.18
591,5.0,24359.9,31320.5,321,125.46
592,5.0,24462.43,40166.57,1919,124.3
593,5.0,24582.27,44015.23,1001,121.3
594,5.0,24767.17,39479.11,116,82.83
595,5.0,24781.45,41806.6,1261,132.89
596,5.0,25405.23,22422.34,2117,128.75
597,5.0,25431.91,37042.22,497,127.03
598,5.0,25696.14,6535.55,1518,146.82
599,5.0,25721.41,35280.63,156,84.94
600,5.0,26407.67,37359.09,126,120.67
601,5.0,27420.96,40254.01,411,141.57
602,5.0,28213.66,25408.61,445,138.31
603,5.0,28480.34,5949.02,151,114.56
604,5.0,28882.74,48964.57,237,109.12
605,5.0,28902.07,39625.07,977,134.73
606,5.0,29893.36,45526.26,418,130.38
607,5.0,30367.94,40442.18,177,128.01
608,5.0,30786.7,30593.93,3971,131.13
609,5.0,30940.65,24126.12,159,103.36
610,5.0,30963.21,18810.1,1533,139.93
611,5.0,31466.97,49618.03,639,108.8
612,5.0,31469.34,11927.79,1053,129.37
613,5.0,32009.24,1986.78,1550,139.32
614,5.0,35166.2,31644.41,171,87.64
615,5.0,36278.07,46447.64,273,121.58
616,5.0,36499.48,14787.54,815,133.95
617,5.0,37362.36,53439.51,121,85.25
618,5.0,37578.06,23774.33,3471,123.05
619,5.0,37651.51,51145.14,426,119.92
620,5.0,38369.0,37446.19,385,123.53
621,5.0,38474.73,53592.31,751,115.6
622,5.0,38694.67,38627.06,1705,143.87
623,5.0,38781.2,14384.08,374,132.07
